µçÑ¹,µçÁ÷
-321.81,-2.658
-324.96,-2.268
-327.091,-1.834
-328.671,-1.527
-330.111,-1.365
-331.354,-1.24
-332.255,-1.079
-332.643,-0.866
-332.362,-0.596
-330.254,-0.241
-322.727,-0.012
-308.148,0.022
-291.541,0.023
-279.189,0.023
-270.467,0.023
-261.262,0.023
-251.797,0.023
-242.106,0.023
-231.172,0.024
-218.819,0.024
-205.618,0.024
-192.368,0.024
-179.28,0.024
-165.366,0.024
-151.404,0.024
-137.19,0.024
-122.112,0.025
-106.853,0.025
-90.86,0.025
-73.4,0.025
-55.852,0.025
-40.507,0.025
-25.83,0.025
-10.144,0.026
6.391,0.026
24.225,0.026
41.658,0.026
59.007,0.026
75.836,0.026
91.227,0.027
106.361,0.027
121.084,0.027
135.162,0.027
147.942,0.027
161.074,0.027
175.498,0.027
188.667,0.027
201.857,0.028
214.819,0.028
225.249,0.028
232.839,0.028
239.891,0.028
249.375,0.028
259.324,0.028
267.293,0.064
274.509,0.577
281.131,1.869
287.265,2.77
292.638,2.949
297.454,2.877
301.811,2.722
306.415,2.749
311.724,2.945
316.965,2.972
321.406,2.747
324.752,2.353
326.952,1.881
328.524,1.539
329.947,1.36
331.185,1.228
332.067,1.065
332.443,0.852
332.174,0.588
330.252,0.246
323.244,0.012
309.157,-0.028
292.369,-0.029
279.55,-0.029
270.703,-0.029
261.494,-0.03
251.964,-0.03
242.142,-0.03
231.134,-0.03
218.93,-0.03
205.909,-0.03
192.861,-0.03
179.91,-0.03
165.958,-0.03
152.194,-0.03
138.186,-0.031
123.074,-0.031
107.943,-0.031
92.279,-0.031
74.984,-0.031
56.935,-0.032
40.539,-0.032
25.381,-0.032
9.56,-0.032
-6.942,-0.032
-24.574,-0.032
-41.844,-0.033
-59.07,-0.033
-75.899,-0.033
-90.798,-0.033
-104.792,-0.033
-118.871,-0.034
-133.423,-0.034
-147.238,-0.034
-161.027,-0.034
-175.587,-0.034
-188.532,-0.034
-201.538,-0.034
-214.588,-0.034
-225.234,-0.034
-232.996,-0.035
-240.24,-0.035
-249.735,-0.035
-259.395,-0.035
-267.075,-0.063
-274.199,-0.524
-280.745,-1.778
-286.686,-2.677
-291.758,-2.833
-296.427,-2.805
-301.348,-2.87
-306.721,-3.018
-312.209,-3.092
-317.208,-2.963
-321.388,-2.682
-324.641,-2.309
-326.861,-1.872
-328.466,-1.545
-329.91,-1.373
-331.175,-1.248
-332.11,-1.092
-332.55,-0.884
-332.338,-0.62
-330.418,-0.268
-323.305,-0.021
-309.199,0.022
-292.586,0.023
-279.757,0.023
-270.882,0.023
-261.837,0.023
-252.546,0.023
-242.991,0.023
-232.051,0.023
-219.668,0.023
-206.529,0.024
-193.309,0.024
-180.271,0.024
-166.424,0.024
-152.347,0.024
-138.061,0.024
-122.973,0.024
-107.787,0.025
-92.09,0.025
-74.999,0.025
-57.371,0.025
-41.621,0.025
-26.964,0.025
-11.181,0.026
5.319,0.026
22.739,0.026
40.061,0.026
57.87,0.026
74.775,0.026
90.345,0.027
105.553,0.027
120.12,0.027
134.295,0.027
147.102,0.027
160.155,0.027
174.599,0.027
187.605,0.027
200.643,0.027
213.712,0.028
224.378,0.028
232.251,0.028
239.325,0.028
248.568,0.028
258.54,0.028
266.569,0.054
273.852,0.505
280.56,1.778
286.776,2.745
292.206,2.952
297.049,2.887
301.417,2.729
305.921,2.726
